섹션,위치/파일,항목,수정전,수정후
SEO 메타,app/*/metadata,/games/draft/epl description,EPL 24-25 시즌 현역으로 스네이크 드래프트. 예산 £80에 나만의 드림팀을 만들어보세요.,EPL 현역 선수로 즐기는 드래프트. 예산 £80로 나만의 드림팀을 만들어보세요.
SEO 메타,app/*/metadata,/games/draft/epl/rooms title,공개 드래프트 방 — 지금 모집 중,공개 드래프트 방 — 지금 모집 중
SEO 메타,app/*/metadata,/games/draft/epl/rooms description,지금 사람을 모으고 있는 EPL 드래프트 방. 클릭해서 바로 참가.,지금 모집 중인 EPL 드래프트 방을 확인하고 바로 참가해보세요.
SEO 메타,app/*/metadata,/games/corner-hero title,코너킥 히어로,코너킥 히어로
SEO 메타,app/*/metadata,/games/corner-hero description,공이 올라오는 단 몇 초 — 자리싸움 · 타이밍 · 코스가 전부다. 코너킥 10회 헤더 챌린지.,"공이 올라오는 몇 초, 자리싸움과 타이밍으로 헤더골에 도전하세요. 코너킥 10회 챌린지."
SEO 메타,app/*/metadata,/games/pass-survivor title,패스 서바이버,패스 서바이버
SEO 메타,app/*/metadata,/games/pass-survivor description,떼로 몰려오는 수비 사이에서 90분을 버텨라. 빠른 공은 무기다 — 약한 패스는 헌납이다.,몰려오는 수비 사이에서 패스로 버티는 90분 생존 챌린지. 빠른 패스가 곧 무기입니다.
SEO 메타,app/*/metadata,/games/rondo title,론도,론도
SEO 메타,app/*/metadata,/games/rondo description,수비는 공을 쫓는다 — 패스가 곧 생존이다. 한 번의 실수면 끝나는 론도 스코어 어택.,"수비는 공을 쫓고, 패스는 길을 만듭니다. 한 번의 실수면 끝나는 론도 스코어 어택."
게시판 설명,lib/constants/communities.ts,축구 description,"K리그, EPL, 라리가, 세리에A 등 국내외 축구 소식과 분석","K리그부터 EPL까지, 경기·이적·전술 이야기를 나누는 곳"
게시판 설명,lib/constants/communities.ts,축구 metaDescription,"K리그, EPL, 라리가, 세리에A, 분데스리가, 챔피언스리그 등 국내외 축구 뉴스, 경기 분석, 이적 소식, 승부예측을 한곳에서. 공놀이 축구 게시판","K리그, EPL, 라리가, 세리에A, 분데스리가, 챔피언스리그까지. 축구 뉴스, 경기 분석, 이적 이야기, 승부예측을 함께 나누는 공놀이 축구 게시판."
게시판 설명,lib/constants/communities.ts,야구 description,"KBO, MLB 야구 정보, 경기 분석, 선수 이야기","KBO와 MLB 경기, 선수, 기록 이야기를 나누는 곳"
게시판 설명,lib/constants/communities.ts,야구 metaDescription,"KBO 프로야구, MLB 메이저리그 경기 결과, 선수 분석, 순위, 이적 소식과 승부예측. 공놀이 야구 게시판","KBO와 MLB 경기 결과, 선수 분석, 순위, 이적 소식, 승부예측을 함께 나누는 공놀이 야구 게시판."
게시판 설명,lib/constants/communities.ts,농구 description,"NBA, KBL 농구 소식, 경기 분석, 선수 정보","NBA와 KBL 소식, 경기 분석, 선수 이야기를 나누는 곳"
게시판 설명,lib/constants/communities.ts,농구 metaDescription,"NBA, KBL 프로농구 경기 분석, 선수 스탯, 순위, 트레이드 소식과 승부예측. 공놀이 농구 게시판","NBA와 KBL 경기 분석, 선수 스탯, 순위, 트레이드 소식, 승부예측을 함께 나누는 공놀이 농구 게시판."
게시판 설명,lib/constants/communities.ts,배구 description,V리그 남녀 배구 경기 정보와 분석,"V리그 경기, 선수, 순위 이야기를 나누는 곳"
게시판 설명,lib/constants/communities.ts,배구 metaDescription,"V리그 남녀 프로배구 경기 일정, 결과, 선수 분석, 순위와 팬 토론. 공놀이 배구 게시판","V리그 남녀 배구 경기 일정, 결과, 선수 분석, 순위 이야기를 함께 나누는 공놀이 배구 게시판."
게시판 설명,lib/constants/communities.ts,게임 description,"PC, 모바일, 콘솔 게임 소식과 e스포츠 이야기","PC, 모바일, 콘솔, e스포츠 이야기를 나누는 곳"
게시판 설명,lib/constants/communities.ts,게임 metaDescription,"PC, 모바일, PS5, 닌텐도 게임 리뷰, 공략, e스포츠 소식과 게이머 커뮤니티. 공놀이 게임 게시판","PC, 모바일, 콘솔 게임 리뷰, 공략, e스포츠 소식을 함께 나누는 공놀이 게임 게시판."
게시판 설명,lib/constants/communities.ts,영화 description,"영화 리뷰, 추천, 박스오피스, 신작 소식과 토론","본 영화, 볼 영화, 추천하고 싶은 영화를 이야기하는 곳"
게시판 설명,lib/constants/communities.ts,영화 metaDescription,"최신 영화 리뷰, 박스오피스 순위, 넷플릭스·디즈니+ 추천, 영화 토론과 평점. 공놀이 영화 게시판","최신 영화 리뷰, 박스오피스, 넷플릭스·디즈니+ 추천작, 영화 토론을 함께 나누는 공놀이 영화 게시판."
게시판 설명,lib/constants/communities.ts,음악 description,"K-POP, 힙합, 인디, 해외 음악 소식과 추천","K-POP, 힙합, 인디, 해외 음악까지 같이 듣고 떠드는 곳"
게시판 설명,lib/constants/communities.ts,음악 metaDescription,"K-POP, 힙합, 인디, 팝 음악 신곡, 앨범 리뷰, 차트, 콘서트 소식과 음악 토론. 공놀이 음악 게시판","K-POP, 힙합, 인디, 팝 음악 신곡, 앨범 리뷰, 차트, 콘서트 이야기를 나누는 공놀이 음악 게시판."
게시판 설명,lib/constants/communities.ts,아이돌 description,"아이돌 컴백, 팬캠, 팬미팅, 덕질 이야기","컴백, 팬캠, 팬미팅, 덕질 이야기를 나누는 곳"
게시판 설명,lib/constants/communities.ts,아이돌 metaDescription,"K-POP 아이돌 컴백, 팬캠, 음방, 팬미팅, 콘서트 소식과 덕질 커뮤니티. 공놀이 아이돌 게시판","K-POP 아이돌 컴백, 팬캠, 음방, 팬미팅, 콘서트 소식과 덕질 이야기를 나누는 공놀이 아이돌 게시판."
게시판 설명,lib/constants/communities.ts,애니 description,"애니메이션 추천, 리뷰, 신작 소식과 토론","신작, 추천작, 만화, 캐릭터 이야기를 나누는 곳"
게시판 설명,lib/constants/communities.ts,애니 metaDescription,"일본 애니메이션 신작, 추천, 리뷰, 만화 소식과 오타쿠 커뮤니티. 공놀이 애니 게시판","일본 애니메이션 신작, 추천작, 리뷰, 만화 소식과 캐릭터 이야기를 나누는 공놀이 애니 게시판."
게시판 설명,lib/constants/communities.ts,자유 description,"자유롭게 이야기 나누는 공간, 잡담과 유머",주제 상관없이 가볍게 떠드는 잡담 공간
게시판 설명,lib/constants/communities.ts,자유 metaDescription,"자유로운 주제로 대화하는 잡담, 유머, 일상 이야기 공간. 공놀이 자유 게시판","잡담, 유머, 일상 이야기까지 자유롭게 나누는 공놀이 자유 게시판."
기능 소개·설명,components/* / app/*,슬립 빈 상태,전술 분석 중… 경기를 선택해 슬립에 담아보세요,전술 분석 중… 마음 가는 경기를 슬립에 담아보세요
기능 소개·설명,components/* / app/*,통계 탭 제목,주인장 vs 유저 / 누가 이기고 있을까?,주인장 vs 유저 / 지금 누가 더 잘 예측하고 있을까?
기능 소개·설명,components/* / app/*,통계 탭 상태,유저들이 이기고 있다!,유저들이 앞서고 있어요!
기능 소개·설명,components/* / app/*,통계 탭 상태,주인장이 웃고 있다...,주인장이 웃고 있습니다…
기능 소개·설명,components/* / app/*,통계 탭 상태,현재 무승부!,아직 팽팽해요!
기능 소개·설명,components/* / app/*,랭킹 빈 상태,아직 랭킹 데이터가 없습니다.,아직 랭킹 데이터가 없어요.
기능 소개·설명,components/* / app/*,랭킹 빈 상태 보조,예측에 참여하고 랭킹에 도전해보세요!,경기를 예측하고 랭킹에 도전해보세요!
기능 소개·설명,components/* / app/*,메타버스 국가 선택,어느 나라로 입장할까요?,어느 리그로 떠나볼까요?
기능 소개·설명,components/* / app/*,메타버스 국가 선택 보조,국가를 선택하면 해당 리그의 월드맵으로 이동합니다.,국가를 선택하면 해당 리그의 월드맵으로 이동해요.
기능 소개·설명,components/* / app/*,메타버스 푸터,내부 테스트 중 · 국가별 지도와 리그 데이터가 순차 오픈됩니다.,내부 테스트 중 · 국가별 지도와 리그 데이터는 순차적으로 열릴 예정입니다.
기능 소개·설명,components/* / app/*,경기장 제목,경기장 건설 투자,경기장 키우기
기능 소개·설명,components/* / app/*,경기장 안내,승부예측 수익을 {팀명} 경기장에 투자하세요,예측으로 모은 포인트를 {팀명} 경기장에 보태보세요
기능 소개·설명,components/* / app/*,경기장 안내,승부예측 적중으로 벌어들인 수익만 투자할 수 있습니다.,"현금 결제 없이, 예측으로 얻은 포인트만 사용할 수 있어요."
기능 소개·설명,components/* / app/*,드래프트 설명,선수를 드래프트해서 나만의 드림팀을 만드세요 · 솔로(vs AI) / 멀티플레이어 — 최대 4명 PvP,"선수를 고르고, 나만의 드림팀을 만들어보세요. 솔로(vs AI)부터 최대 4명 PvP까지 즐길 수 있어요."
기능 소개·설명,components/* / app/*,팬 정체성 제목,내 팬 정체성,내 팬 정체성
기능 소개·설명,components/* / app/*,팬 정체성 안내,"글, 댓글, 받은 추천으로 점수가 쌓이면 여기 호칭이 잠금 해제돼요.","글, 댓글, 받은 추천이 쌓이면 새로운 호칭이 열려요."
기능 소개·설명,components/* / app/*,팬 정체성 점수,글 = 10점 / 댓글 = 1점 / 받은 추천 = 1점 · 같은 flair team 의 경기장에 기부 가능,글 10점 · 댓글 1점 · 받은 추천 1점. 같은 팀 경기장에 포인트를 보탤 수 있어요.
기능 소개·설명,components/* / app/*,팬 정체성 호칭,flair 활동 점수로 잠금 해제된 호칭 중 하나를 표시할 수 있어요. 닉네임 옆에 노출됩니다.,활동 점수로 열린 호칭 중 하나를 골라 닉네임 옆에 표시할 수 있어요.
기능 소개·설명,components/* / app/*,글쓰기 팀 플레어,팀 플레어: 달고 쓰면 해당 팀 카르마 +10,팀 플레어: 달고 쓰면 해당 팀 카르마가 +10 올라가요
기능 소개·설명,components/* / app/*,글쓰기 소스 URL,소스 URL: 뉴스나 기사 URL을 붙여넣으면 이미지를 자동으로 가져옵니다,소스 URL: 뉴스나 기사 링크를 붙여넣으면 대표 이미지를 자동으로 가져와요
기능 소개·설명,components/* / app/*,글쓰기 내용,"내용: 내용을 입력하세요. YouTube, Instagram, X 링크를 붙여넣으면 자동으로 임베드됩니다.","내용: 글을 입력하세요. YouTube, Instagram, X 링크를 붙여넣으면 자동으로 임베드돼요."
기능 소개·설명,components/* / app/*,글쓰기 이미지,이미지: 클릭 또는 드래그로 본문에 이미지 삽입 / 한 번에 최대 10장 · 각 파일 10MB 이하,"이미지: 클릭하거나 드래그해서 본문에 이미지를 넣을 수 있어요. 한 번에 최대 10장, 파일당 10MB까지 가능합니다."
기능 소개·설명,components/* / app/*,탐색 제목,운동장,운동장
기능 소개·설명,components/* / app/*,탐색 설명,관심 있는 커뮤니티를 찾아 즐겨찾기에 추가하세요.,관심 있는 게시판을 찾아 팔로우해보세요.
온보딩·가입 안내,components/sign-up/*,약관 단계 제목,약관 동의,약관 동의
온보딩·가입 안내,components/sign-up/*,약관 단계 설명,서비스 이용을 위해 약관에 동의해주세요.,공놀이를 시작하려면 약관 동의가 필요해요.
온보딩·가입 안내,components/sign-up/*,계정 단계 제목,계정 만들기,계정 만들기
온보딩·가입 안내,components/sign-up/*,계정 단계 설명,Google 또는 이메일로 가입할 수 있습니다.,Google 또는 이메일로 가입할 수 있어요.
온보딩·가입 안내,components/sign-up/*,비밀번호 규칙,"8자 이상 / 유출된 적 없는 비밀번호 (보안 검사 자동 수행) / 너무 단순한 패턴 금지 (예: 12345678, password)",8자 이상 / 유출 이력이 없는 비밀번호 / 너무 단순한 패턴은 사용할 수 없어요
온보딩·가입 안내,components/sign-up/*,프로필 단계 제목,프로필 설정,프로필 설정
온보딩·가입 안내,components/sign-up/*,프로필 단계 설명,커뮤니티에서 사용할 프로필을 설정해주세요.,공놀이에서 사용할 프로필을 정해주세요.
온보딩·가입 안내,components/sign-up/*,한줄소개 placeholder,나를 한줄로 표현해보세요,나를 한 줄로 소개해보세요
온보딩·가입 안내,components/sign-up/*,최애 팀 & 선수,하나라도 입력하면 100 골드를 드려요!,하나라도 입력하면 100골드를 드려요!
온보딩·가입 안내,components/sign-up/*,게시판 단계 제목,관심 게시판 선택,관심 게시판 선택
온보딩·가입 안내,components/sign-up/*,게시판 단계 설명,관심 있는 게시판을 선택하면 맞춤 담벼락을 볼 수 있어요. (1개 이상),관심 게시판을 고르면 내 담벼락이 채워져요. 1개 이상 선택해주세요.
온보딩·가입 안내,components/sign-up/*,완료 버튼,✨ 시작하기,✨ 시작하기
온보딩·가입 안내,components/sign-up/*,가입 완료 토스트,공놀이판에 오신 것을 환영합니다!,공놀이판 입장 완료!
온보딩·가입 안내,components/sign-up/*,가입 푸터,가입 시 이용약관 및 개인정보처리방침에 동의하는 것으로 간주합니다.,가입하면 이용약관과 개인정보처리방침에 동의한 것으로 간주됩니다.
온보딩·가입 안내,components/sign-up/*,로그인 메뉴,로그인 / 계속하려면 로그인하세요,로그인 / 계속하려면 로그인이 필요해요
빈 상태·로그인 유도,components/* / app/*,담벼락 비로그인 제목,로그인하고 게시판을 팔로우해보세요!,로그인하고 관심 게시판을 팔로우해보세요!
빈 상태·로그인 유도,components/* / app/*,담벼락 비로그인 설명,팔로우한 게시판의 최신 글을 모아볼 수 있어요.,팔로우한 게시판의 최신 글을 담벼락에서 모아볼 수 있어요.
빈 상태·로그인 유도,components/* / app/*,담벼락 팔로우 없음 제목,관심 있는 게시판을 팔로우해보세요!,관심 게시판을 팔로우해보세요!
빈 상태·로그인 유도,components/* / app/*,담벼락 팔로우 없음 설명,팔로우한 게시판의 글이 담벼락에 표시됩니다.,팔로우한 게시판의 글이 내 담벼락에 표시돼요.
빈 상태·로그인 유도,components/* / app/*,콘텐츠 탭 비로그인,로그인하면 팔로우한 랭커의 예측 콘텐츠를 확인할 수 있습니다.,로그인하면 팔로우한 랭커의 예측 콘텐츠를 확인할 수 있어요.
빈 상태·로그인 유도,components/* / app/*,콘텐츠 탭 빈 상태,랭커를 팔로우하면 예측 콘텐츠가 여기에 표시됩니다,랭커를 팔로우하면 예측 콘텐츠가 여기에 표시돼요.
빈 상태·로그인 유도,components/* / app/*,사이드바 인기 게시판,별을 눌러 팔로우하면 맞춤 담벼락을 볼 수 있어요,별을 눌러 팔로우하면 내 담벼락이 더 알차져요
빈 상태·로그인 유도,components/* / app/*,메타버스 비로그인 제목,로그인이 필요합니다,로그인이 필요해요
빈 상태·로그인 유도,components/* / app/*,메타버스 비로그인 설명,메타버스에 접속하려면 헤더 우측…,메타버스에 입장하려면 먼저 로그인해주세요.
빈 상태·로그인 유도,components/* / app/*,경기장 비로그인,로그인하면 채팅에 참여하고 경기장 건설에 투자할 수 있습니다.,"로그인하면 채팅에 참여하고, 예측 포인트로 경기장을 키울 수 있어요."
빈 상태·로그인 유도,components/* / app/*,미니게임,로그인하면 순위에 기록됩니다,로그인하면 내 기록이 순위표에 남아요
빈 상태·로그인 유도,components/* / app/*,댓글 비로그인,댓글을 작성하려면 로그인이 필요합니다.,댓글을 작성하려면 로그인이 필요해요.
빈 상태·로그인 유도,components/* / app/*,로그인 오류 제목,로그인 서비스에 연결할 수 없습니다,로그인 서비스에 연결할 수 없어요
빈 상태·로그인 유도,components/* / app/*,로그인 오류 설명,일시적인 네트워크 문제일 수 있습니다. 잠시 후 다시 시도해주세요.,일시적인 네트워크 문제일 수 있어요. 잠시 후 다시 시도해주세요.
월드컵 이벤트 카피,app/worldcup/*,메타 title,월드컵 승부예측 구너 대결,월드컵 승부예측 — 구너들의 대결
월드컵 이벤트 카피,app/worldcup/*,메타 description,월드컵 32강 토너먼트 전까지 참가 신청. 최고 점수를 기록한 구너에게 데클런 라이스 사인 유니폼 증정.,월드컵 토너먼트 전까지 참가 신청하세요. 최종 1위 구너에게 데클런 라이스 친필 사인 유니폼을 드립니다.
월드컵 이벤트 카피,app/worldcup/*,OG,아스날 구너 전용. 월드컵 토너먼트 최고 점수 1위에 도전하세요.,아스날 팬 전용 월드컵 승부예측. 토너먼트 최고 점수 1위에 도전하세요.
월드컵 이벤트 카피,app/worldcup/*,히어로 제목,2026 월드컵 승부예측 / 구너들의 대결,2026 월드컵 승부예측 — 구너들의 대결
월드컵 이벤트 카피,app/worldcup/*,히어로 인트로,"토너먼트 기간 동안 예측으로 점수를 쌓고, 최고 득점 구너에게 드리는 단 하나의 데클런 라이스 친필 사인 유니폼에 도전하세요.",토너먼트 기간 동안 경기 결과를 예측하고 점수를 쌓아보세요. 최종 1위 구너에게는 데클런 라이스 친필 사인 유니폼이 주어집니다.
월드컵 이벤트 카피,app/worldcup/*,정보,이벤트 기간 2026.06.11(목) ~ 결승전 종료 · 참가 신청 32강 시작 전까지 · 참가 대상 아스날 구너 누구나,이벤트 기간 2026.06.11(목) ~ 결승전 종료 · 참가 신청 32강 시작 전까지 · 참가 대상 아스날 팬 누구나
월드컵 이벤트 카피,app/worldcup/*,경품 헤더,토너먼트 최고 득점 구너 단 한 명을 위한 상품입니다.,토너먼트 최고 점수를 기록한 단 한 명의 구너를 위한 상품입니다.
월드컵 이벤트 카피,app/worldcup/*,경품 상세,"ARSENAL No.41 데클런 라이스 친필 사인 유니폼 / 경품 친필 사인 유니폼 (정품, 액자 포함) / 인원 최종 랭킹 1위 구너 1명 / 발표 결승전 종료 후 7일 이내 · 담벼락 공지 / 배송 국내 무료 배송","ARSENAL No.41 데클런 라이스 친필 사인 유니폼 / 경품 친필 사인 유니폼 (정품, 액자 미포함) / 인원 최종 랭킹 1위 1명 / 발표 결승전 종료 후 7일 이내 · 담벼락 공지 / 배송 국내 무료 배송"
월드컵 이벤트 카피,app/worldcup/*,How 1,참가 신청 — 월드컵 32강 토너먼트 전까지 참가 신청을 하세요. 모든 신청은 무료입니다.,참가 신청 — 월드컵 32강 토너먼트 전까지 신청하세요. 참가비는 없습니다.
월드컵 이벤트 카피,app/worldcup/*,How 2,경기 예측 — 매일 무료로 받는 볼 10개로 월드컵 경기를 예측하세요. 맞힌 만큼 점수가 쌓입니다.,경기 예측 — 매일 무료로 받는 볼 10개로 월드컵 경기를 예측하세요. 맞힌 만큼 점수가 쌓입니다.
월드컵 이벤트 카피,app/worldcup/*,How 3,1위 결정 — 토너먼트 기간 동안 모은 점수로 랭킹을 산정합니다. 최고 득점 구너가 1등 상품을 가져갑니다.,1위 결정 — 토너먼트 기간 동안 모은 점수로 랭킹을 산정합니다. 최종 1위가 상품을 가져갑니다.
월드컵 이벤트 카피,app/worldcup/*,CTA 미신청,지금 신청하고 구너 대결에 합류하세요,지금 신청하고 구너 대결에 합류하세요
월드컵 이벤트 카피,app/worldcup/*,CTA 미신청 보조,신청은 무료 · 한 번 신청하면 변경 불가 · 현재 N명 신청 완료,참가비 없음 · 한 번 신청하면 변경 불가 · 현재 N명 신청 완료
월드컵 이벤트 카피,app/worldcup/*,CTA 신청완료,참가 신청 완료 — 경기가 열리면 예측하세요,참가 신청 완료 — 이제 경기 결과를 예측하세요
월드컵 이벤트 카피,app/worldcup/*,CTA 신청완료 보조,경기가 열리면 결과를 예측하고 점수를 쌓으세요.,경기가 열리면 결과를 예측하고 점수를 쌓아보세요.
월드컵 이벤트 카피,app/worldcup/*,가입 규칙 제목,규칙은 간단해요,규칙은 간단해요
월드컵 이벤트 카피,app/worldcup/*,규칙 1,"매일 볼 10개, 공짜로 — 매일 아침 볼 10개가 들어와요. 충전도 결제도 없이, 그 볼로만 참여합니다.","매일 볼 10개, 무료 지급 — 매일 아침 볼 10개가 들어와요. 충전도 결제도 없이, 그 볼로만 참여합니다."
월드컵 이벤트 카피,app/worldcup/*,규칙 2,예측하고 점수 쌓기 — 볼로 월드컵 경기 결과를 맞혀보세요. 적중할 때마다 점수가 차곡차곡 쌓입니다.,예측하고 점수 쌓기 — 볼로 월드컵 경기 결과를 예측해보세요. 맞힐 때마다 점수가 차곡차곡 쌓입니다.
월드컵 이벤트 카피,app/worldcup/*,규칙 3,최고 점수 구너가 우승 — 토너먼트가 끝날 때 점수가 가장 높은 구너 한 명이 데클런 라이스 사인 유니폼을 가져가요.,최고 점수 구너가 우승 — 토너먼트가 끝났을 때 점수가 가장 높은 구너 한 명이 데클런 라이스 사인 유니폼을 가져가요.
월드컵 이벤트 카피,app/worldcup/*,미로그인 카드 제목,로그인 후 참가 신청할 수 있어요,로그인 후 참가 신청할 수 있어요
월드컵 이벤트 카피,app/worldcup/*,미로그인 카드 설명,gongnori.fan 계정으로 로그인하면 바로 참가 신청을 마칠 수 있습니다.,gongnori.fan 계정으로 로그인하면 바로 참가 신청을 마칠 수 있어요.
월드컵 이벤트 카피,app/worldcup/*,동의,"규칙과 이벤트 참가 약관을 확인했으며, 동의하고 참가 신청할게요.","규칙과 이벤트 참가 약관을 확인했으며, 이에 동의하고 참가 신청합니다."
월드컵 이벤트 카피,app/worldcup/*,안내,"현금이 오가지 않는 무료 이벤트예요. 참가 신청은 한 번만 가능하고, 이후엔 변경할 수 없어요.","현금이 오가지 않는 무료 이벤트예요. 참가 신청은 한 번만 가능하며, 이후에는 변경할 수 없어요."
월드컵 이벤트 카피,app/worldcup/*,유의사항 1,본 이벤트는 gongnori.fan 회원 중 아스날 구너를 대상으로 진행됩니다.,본 이벤트는 gongnori.fan 회원 중 아스날 구너를 대상으로 진행됩니다.
월드컵 이벤트 카피,app/worldcup/*,유의사항 2,"참가 신청은 월드컵 32강 시작 전까지 가능하며, 신청 후에는 취소·변경이 불가합니다.","참가 신청은 월드컵 32강 시작 전까지 가능하며, 신청 후에는 취소·변경이 불가합니다."
월드컵 이벤트 카피,app/worldcup/*,유의사항 3,예측 점수는 기존 토큰·골드 베팅 시스템의 적중 결과를 기준으로 자동 집계됩니다.,예측 점수는 무료 볼을 사용한 승부예측 결과를 기준으로 자동 집계됩니다.
