game_slug,external_id,name,name_ko,image_url,primary_position,price,team,team_ko,era,description_ko,attribute_json,estimated,source,notes,confidence
arsenal-fantasy,af-saliba,William Saliba,윌리암 살리바,,DF,9.0,Arsenal,아스날,2022-current,현 No.1 CB. 2022 영입 후 4시즌 임대 거쳐 복귀. Arteta 수비의 핵심.,"{""apps"":120,""goals"":3,""trophies"":0,""iconicity"":""S""}",true,https://en.wikipedia.org/wiki/William_Saliba,진행 시즌 stats,0.88
arsenal-fantasy,af-gabriel,Gabriel Magalhaes,가브리에우 마갈량이스,,DF,8.0,Arsenal,아스날,2020-current,Saliba와 함께 PL 최강 CB 듀오. 세트피스 위협.,"{""apps"":210,""goals"":17,""trophies"":0,""iconicity"":""A""}",true,https://en.wikipedia.org/wiki/Gabriel_(footballer_born_1997),진행 시즌 stats,0.88
arsenal-fantasy,af-white,Ben White,벤 화이트,,DF,7.0,Arsenal,아스날,2021-current,RB로 전환 성공. 다재다능한 수비수.,"{""apps"":160,""goals"":5,""trophies"":0,""iconicity"":""A""}",true,https://en.wikipedia.org/wiki/Ben_White_(footballer),,0.87
arsenal-fantasy,af-tomiyasu,Takehiro Tomiyasu,토미야스 타케히로,,DF,4.0,Arsenal,아스날,2021-current,일본 RB/LB 양쪽 가능. 부상 잦음.,"{""apps"":86,""goals"":1,""trophies"":0,""iconicity"":""B""}",false,https://en.wikipedia.org/wiki/Takehiro_Tomiyasu,,0.88
arsenal-fantasy,af-zinchenko,Oleksandr Zinchenko,올렉산드르 진첸코,,DF,5.0,Arsenal,아스날,2022-current,Man City 출신 LB. 인버티드 풀백 역할.,"{""apps"":85,""goals"":4,""trophies"":0,""iconicity"":""B""}",false,https://en.wikipedia.org/wiki/Oleksandr_Zinchenko,,0.88
arsenal-fantasy,af-calafiori,Riccardo Calafiori,리카르도 칼라피오리,,DF,4.5,Arsenal,아스날,2024-current,Bologna 출신 이탈리아 LB/CB. 신규 영입.,"{""apps"":35,""goals"":2,""trophies"":0,""iconicity"":""B""}",true,https://en.wikipedia.org/wiki/Riccardo_Calafiori,신규 영입 stats 추정,0.8
arsenal-fantasy,af-vieira,Patrick Vieira,파트리크 비에이라,,MF,14.0,Arsenal,아스날,1996-2005,Invincibles 캡틴. 박스 투 박스 미드필더의 정수. 2005 Juve 이적.,"{""apps"":406,""goals"":34,""trophies"":7,""iconicity"":""S+""}",false,https://en.wikipedia.org/wiki/Patrick_Vieira,Invincibles 캡틴,0.96
arsenal-fantasy,af-pires,Robert Pires,로베르 피레스,,MF,12.0,Arsenal,아스날,2000-2006,Invincibles 시즌 PFA 올해의 선수. 좌측 윙어.,"{""apps"":284,""goals"":84,""trophies"":4,""iconicity"":""S""}",false,https://en.wikipedia.org/wiki/Robert_Pir%C3%A8s,,0.95
arsenal-fantasy,af-ljungberg,Freddie Ljungberg,프레디 융베리,,MF,9.0,Arsenal,아스날,1998-2007,Invincibles 우측 윙어. 빨간 머리 + 칼뱅클라인 모델.,"{""apps"":328,""goals"":72,""trophies"":5,""iconicity"":""A""}",false,https://en.wikipedia.org/wiki/Fredrik_Ljungberg,,0.93
arsenal-fantasy,af-gilberto,Gilberto Silva,질베르토 실바,,MF,7.5,Arsenal,아스날,2002-2008,Invincibles 수비형 MF. Invisible Wall.,"{""apps"":244,""goals"":24,""trophies"":3,""iconicity"":""A""}",false,https://en.wikipedia.org/wiki/Gilberto_Silva,,0.92
arsenal-fantasy,af-reyes,Jose Antonio Reyes,호세 안토니오 레예스,,MF,5.5,Arsenal,아스날,2004-2007,Invincibles 후반 영입. 윙어/세컨스트라이커. 2019 비극적 타계.,"{""apps"":110,""goals"":23,""trophies"":2,""iconicity"":""B""}",false,https://en.wikipedia.org/wiki/Jos%C3%A9_Antonio_Reyes,,0.9
arsenal-fantasy,af-fabregas,Cesc Fabregas,세스크 파브레가스,,MF,12.0,Arsenal,아스날,2003-2011,16세 데뷔. 최연소 캡틴. 패스의 마에스트로. 2011 Barca 이적.,"{""apps"":305,""goals"":57,""trophies"":1,""iconicity"":""S""}",false,https://en.wikipedia.org/wiki/Cesc_F%C3%A0bregas,,0.95
arsenal-fantasy,af-rosicky,Tomas Rosicky,토마시 로시츠키,,MF,6.0,Arsenal,아스날,2006-2016,Little Mozart. 부상 자주 있었지만 명품 패스.,"{""apps"":247,""goals"":28,""trophies"":2,""iconicity"":""A""}",false,https://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Ros%C3%ADck%C3%BD,,0.9
arsenal-fantasy,af-diaby,Abou Diaby,아부 디아비,,MF,4.5,Arsenal,아스날,2006-2015,부상 저주의 대명사. 잠재력은 S급이었던 비운의 선수.,"{""apps"":180,""goals"":19,""trophies"":1,""iconicity"":""B""}",false,https://en.wikipedia.org/wiki/Abou_Diaby,,0.85
arsenal-fantasy,af-nasri,Samir Nasri,사미르 나스리,,MF,5.0,Arsenal,아스날,2008-2011,프랑스 어태킹 MF. 2011 Man City 이적으로 논란.,"{""apps"":125,""goals"":27,""trophies"":0,""iconicity"":""B""}",false,https://en.wikipedia.org/wiki/Samir_Nasri,,0.9
arsenal-fantasy,af-arshavin,Andrey Arshavin,안드레이 아르샤빈,,MF,5.5,Arsenal,아스날,2009-2013,Liverpool 4골. 작지만 임팩트 있던 러시아 MF.,"{""apps"":144,""goals"":31,""trophies"":0,""iconicity"":""B""}",false,https://en.wikipedia.org/wiki/Andrey_Arshavin,,0.9
arsenal-fantasy,af-cazorla,Santi Cazorla,산티 카소를라,,MF,6.5,Arsenal,아스날,2012-2018,양발잡이 마법사. 발목 부상으로 비극적 마무리.,"{""apps"":180,""goals"":29,""trophies"":2,""iconicity"":""A""}",false,https://en.wikipedia.org/wiki/Santi_Cazorla,,0.92
arsenal-fantasy,af-ozil,Mesut Ozil,메수트 외질,,MF,8.0,Arsenal,아스날,2013-2021,어시스트의 황제. PL 어시스트 19개 시즌 기록. 후반기 논란.,"{""apps"":254,""goals"":44,""assists"":71,""trophies"":4,""iconicity"":""A+""}",false,https://en.wikipedia.org/wiki/Mesut_%C3%96zil,,0.94
arsenal-fantasy,af-ramsey,Aaron Ramsey,아론 램지,,MF,9.0,Arsenal,아스날,2008-2019,2014 / 2017 FA Cup 결승골. 다재다능한 박스 투 박스.,"{""apps"":369,""goals"":64,""trophies"":3,""iconicity"":""A+""}",false,https://en.wikipedia.org/wiki/Aaron_Ramsey,,0.93
arsenal-fantasy,af-wilshere,Jack Wilshere,잭 윌셔,,MF,6.0,Arsenal,아스날,2008-2018,Hale End 출신 잉글랜드 신성. 부상으로 발목 잡힘.,"{""apps"":197,""goals"":14,""trophies"":2,""iconicity"":""A""}",false,https://en.wikipedia.org/wiki/Jack_Wilshere,,0.92
arsenal-fantasy,af-xhaka,Granit Xhaka,그라니트 쟈카,,MF,5.5,Arsenal,아스날,2016-2023,스위스 캡틴. 부주장 논란 끝에 Arteta 시스템의 핵심으로 부활.,"{""apps"":297,""goals"":22,""trophies"":1,""iconicity"":""B+""}",false,https://en.wikipedia.org/wiki/Granit_Xhaka,,0.92
arsenal-fantasy,af-mkhitaryan,Henrikh Mkhitaryan,헨리흐 미키타리안,,MF,3.0,Arsenal,아스날,2018-2019,Sanchez와 맞교환. 짧고 평범했던 임팩트.,"{""apps"":59,""goals"":9,""trophies"":0,""iconicity"":""C""}",false,https://en.wikipedia.org/wiki/Henrikh_Mkhitaryan,,0.88
arsenal-fantasy,af-partey,Thomas Partey,토마스 파티,,MF,7.0,Arsenal,아스날,2020-2025,Atletico에서 영입한 6번. 부상 시 팀 약해지는 핵심.,"{""apps"":167,""goals"":11,""trophies"":0,""iconicity"":""A""}",false,https://en.wikipedia.org/wiki/Thomas_Partey,,0.9
arsenal-fantasy,af-rice,Declan Rice,데클런 라이스,,MF,11.0,Arsenal,아스날,2023-current,West Ham에서 £105m 영입. 잉글랜드 캡틴 후보. 양적/질적 핵심.,"{""apps"":105,""goals"":14,""trophies"":0,""iconicity"":""S""}",true,https://en.wikipedia.org/wiki/Declan_Rice,진행 시즌 stats,0.88
arsenal-fantasy,af-odegaard,Martin Odegaard,마르틴 외데고르,,MF,12.0,Arsenal,아스날,2021-current,현 캡틴. 노르웨이 천재. 2020 임대 후 영구 영입.,"{""apps"":180,""goals"":42,""trophies"":0,""iconicity"":""S""}",true,https://en.wikipedia.org/wiki/Martin_%C3%98degaard,진행 시즌 stats,0.9
arsenal-fantasy,af-smithrowe,Emile Smith Rowe,에밀 스미스 로우,,MF,4.0,Arsenal,아스날,2018-2024,Hale End 출신 10번. 부상으로 정체. 2024 Fulham 이적.,"{""apps"":115,""goals"":18,""trophies"":1,""iconicity"":""B""}",false,https://en.wikipedia.org/wiki/Emile_Smith_Rowe,Hale End 유스 출신이나 1군 활약,0.9
arsenal-fantasy,af-merino,Mikel Merino,미켈 메리노,,MF,4.5,Arsenal,아스날,2024-current,Real Sociedad에서 영입. 박스 투 박스 보강.,"{""apps"":35,""goals"":4,""trophies"":0,""iconicity"":""B""}",true,https://en.wikipedia.org/wiki/Mikel_Merino,신규 영입 stats 추정,0.8
arsenal-fantasy,af-havertz,Kai Havertz,카이 하베르츠,,MF,7.0,Arsenal,아스날,2023-current,Chelsea 출신 다재다능 9.5번. False 9 역할.,"{""apps"":105,""goals"":35,""trophies"":0,""iconicity"":""A""}",true,https://en.wikipedia.org/wiki/Kai_Havertz,진행 시즌 stats,0.85
arsenal-fantasy,af-henry,Thierry Henry,티에리 앙리,,FW,15.0,Arsenal,아스날,1999-2007/2012,클럽 역대 최다 득점 228골. Invincibles 시즌 PFA. 2012 단기 복귀.,"{""apps"":377,""goals"":228,""assists"":109,""trophies"":4,""iconicity"":""S+""}",false,https://en.wikipedia.org/wiki/Thierry_Henry,Invincibles + 역대 최고,0.97
arsenal-fantasy,af-bergkamp,Dennis Bergkamp,데니스 베르캄프,,FW,13.0,Arsenal,아스날,1995-2006,Non-flying Dutchman. Invincibles 마지막 시즌까지. Newcastle 360도 골.,"{""apps"":423,""goals"":120,""assists"":94,""trophies"":7,""iconicity"":""S""}",false,https://en.wikipedia.org/wiki/Dennis_Bergkamp,Invincibles 멤버,0.96
arsenal-fantasy,af-vanpersie,Robin Van Persie,로빈 판 페르시,,FW,10.0,Arsenal,아스날,2004-2012,캡틴 시절 30골 시즌. 2012 Man Utd 이적으로 배신자 낙인.,"{""apps"":278,""goals"":132,""assists"":56,""trophies"":1,""iconicity"":""A+""}",false,https://en.wikipedia.org/wiki/Robin_van_Persie,,0.94
arsenal-fantasy,af-adebayor,Emmanuel Adebayor,에마뉘엘 아데바요르,,FW,5.5,Arsenal,아스날,2006-2009,큰 키 9번. 2008/09 시즌 30골. Man City 이적 후 골 셀러브레이션 논란.,"{""apps"":142,""goals"":62,""trophies"":0,""iconicity"":""B""}",false,https://en.wikipedia.org/wiki/Emmanuel_Adebayor,,0.92
arsenal-fantasy,af-walcott,Theo Walcott,테오 월콧,,FW,7.0,Arsenal,아스날,2006-2018,16세 영입. 빠른 윙어. 2013/14 FA Cup 결승 부상.,"{""apps"":397,""goals"":108,""trophies"":3,""iconicity"":""A""}",false,https://en.wikipedia.org/wiki/Theo_Walcott,,0.93
arsenal-fantasy,af-giroud,Olivier Giroud,올리비에 지루,,FW,6.5,Arsenal,아스날,2012-2018,프랑스 빅맨. FA Cup 3회 우승. 2017 scorpion kick.,"{""apps"":253,""goals"":105,""trophies"":3,""iconicity"":""A""}",false,https://en.wikipedia.org/wiki/Olivier_Giroud,,0.93
arsenal-fantasy,af-sanchez,Alexis Sanchez,알렉시스 산체스,,FW,8.0,Arsenal,아스날,2014-2018,Barca에서 영입한 칠레 에이스. 2017 마지막 시즌 30골+.,"{""apps"":166,""goals"":80,""assists"":47,""trophies"":2,""iconicity"":""A+""}",false,https://en.wikipedia.org/wiki/Alexis_S%C3%A1nchez,,0.94
arsenal-fantasy,af-lacazette,Alexandre Lacazette,알렉상드르 라카제트,,FW,5.5,Arsenal,아스날,2017-2022,Lyon 출신 9번. 캡틴 시절 마지막. 페널티 박스 내 빅 chance 마스터.,"{""apps"":206,""goals"":71,""trophies"":0,""iconicity"":""B+""}",false,https://en.wikipedia.org/wiki/Alexandre_Lacazette,,0.92
arsenal-fantasy,af-aubameyang,Pierre-Emerick Aubameyang,피에르-에메리크 오바메양,,FW,7.0,Arsenal,아스날,2018-2022,Dortmund 출신 캡틴. 2020 FA Cup 결승 2골. Arteta와 갈등으로 떠남.,"{""apps"":163,""goals"":92,""trophies"":1,""iconicity"":""A""}",false,https://en.wikipedia.org/wiki/Pierre-Emerick_Aubameyang,,0.93
arsenal-fantasy,af-pepe,Nicolas Pepe,니콜라 페페,,FW,4.0,Arsenal,아스날,2019-2022,클럽 역대 최고 이적료 £72m. 기대만큼 못 한 케이스.,"{""apps"":112,""goals"":27,""trophies"":1,""iconicity"":""B""}",false,https://en.wikipedia.org/wiki/Nicolas_P%C3%A9p%C3%A9,,0.9
arsenal-fantasy,af-martinelli,Gabriel Martinelli,가브리에우 마르티넬리,,FW,8.0,Arsenal,아스날,2019-current,브라질 신성. 좌측 윙어. Arteta 부활기 핵심.,"{""apps"":190,""goals"":51,""trophies"":0,""iconicity"":""A+""}",true,https://en.wikipedia.org/wiki/Gabriel_Martinelli,진행 시즌 stats,0.88
arsenal-fantasy,af-saka,Bukayo Saka,부카요 사카,,FW,13.0,Arsenal,아스날,2018-current,Hale End 출신 현 에이스. 2024/25 시즌 PL 최다 어시스트 후보.,"{""apps"":260,""goals"":76,""assists"":75,""trophies"":1,""iconicity"":""S""}",true,https://en.wikipedia.org/wiki/Bukayo_Saka,Hale End 유스 출신이나 1군 핵심,0.9
arsenal-fantasy,af-jesus,Gabriel Jesus,가브리에우 제수스,,FW,7.0,Arsenal,아스날,2022-current,Man City에서 영입. 부상 잦으나 결정력 + 프레싱.,"{""apps"":95,""goals"":32,""trophies"":0,""iconicity"":""A""}",true,https://en.wikipedia.org/wiki/Gabriel_Jesus,진행 시즌 stats,0.87
arsenal-fantasy,af-trossard,Leandro Trossard,레안드로 트로사르,,FW,6.5,Arsenal,아스날,2023-current,Brighton에서 영입. super-sub로 결정적 임팩트 다수.,"{""apps"":105,""goals"":32,""trophies"":0,""iconicity"":""A""}",true,https://en.wikipedia.org/wiki/Leandro_Trossard,진행 시즌 stats,0.87
